DrugID,DiseaseID
DB00277,MESH:D000138
DB00975,MESH:D000138
DB00761,MESH:D000138
DB00661,MESH:D000138
DB00867,MESH:D000138
DB00171,MESH:D000138
DB00818,MESH:D000138
DB00649,MESH:D000138
DB00951,MESH:D000138
DB01356,MESH:D000138
DB01001,MESH:D000138
DB00863,MESH:D000138
DB01236,MESH:D000138
DB00443,MESH:D000138
DB00313,MESH:D000138
DB00316,MESH:D000138
DB00152,MESH:D000138
DB00907,MESH:D000138
DB00871,MESH:D000138
DB01181,MESH:D000138
DB00244,MESH:D000138
DB01118,MESH:D000138
DB01213,MESH:D000138
DB00578,MESH:D000138
DB00703,MESH:D000138
DB00573,MESH:D000138
DB00543,MESH:D000138
DB09130,MESH:D000138
DB01603,MESH:D000138
DB00759,MESH:D000138
DB00373,MESH:D000138
DB01016,MESH:D000140
DB00313,MESH:D000140
DB00495,MESH:D000140
DB00363,MESH:D000140
DB00148,MESH:D000140
DB00224,MESH:D000140
DB00544,MESH:D000140
DB00625,MESH:D000140
DB00668,MESH:D000140
DB00822,MESH:D000140
DB00914,MESH:D000140
DB00635,MESH:D000140
DB00818,MESH:D000140
DB00503,MESH:D000140
DB00709,MESH:D000140
DB00649,MESH:D000140
DB00898,MESH:D000140
DB00959,MESH:D000140
DB00238,MESH:D000140
DB00900,MESH:D000140
DB01035,MESH:D000140
DB00331,MESH:D000140
DB01115,MESH:D000140
DB00811,MESH:D000140
DB00300,MESH:D000140
DB00316,MESH:D000140
DB00627,MESH:D000140
DB00531,MESH:D000141
DB01181,MESH:D000141
DB01099,MESH:D000141
DB00635,MESH:D000141
DB14509,MESH:D000141
DB00244,MESH:D000141
DB00864,MESH:D000141
DB01356,MESH:D000141
DB00529,MESH:D000141
DB00428,MESH:D000141
DB01050,MESH:D000141
DB00273,MESH:D000141
DB00421,MESH:D000141
DB01603,MESH:D000141
DB01028,MESH:D000141
DB00369,MESH:D000141
DB00594,MESH:D000141
DB00928,MESH:D000141
DB00294,MESH:D000152
DB01406,MESH:D000152
DB00977,MESH:D000152
DB01234,MESH:D000152
DB00744,MESH:D000152
DB00317,MESH:D000152
DB00210,MESH:D000152
DB00421,MESH:D000152
DB00755,MESH:D000152
DB00951,MESH:D000152
DB00982,MESH:D000152
DB04839,MESH:D000152
DB01190,MESH:D000152
DB00548,MESH:D000152
DB00860,MESH:D000152
DB00250,MESH:D000152
DB04836,MESH:D000152
DB00759,MESH:D000152
DB00443,MESH:D000152
DB09123,MESH:D000152
DB00595,MESH:D000152
DB00199,MESH:D000152
DB00367,MESH:D000152
DB09096,MESH:D000152
DB00717,MESH:D000152
DB00957,MESH:D000152
DB01017,MESH:D000152
DB00162,MESH:D000152
DB00615,MESH:D000163
DB00503,MESH:D000163
DB00943,MESH:D000163
DB00224,MESH:D000163
DB00900,MESH:D000163
